IDs,metal,donor,atom_id,distance_A,cutoff_A,delta_A,category
MOPFAZ,Tc,N,21,2.37981,2.33700,0.04281,0.025_to_0.05_above
MOQKUY,Re,C,26,3.14329,2.41800,0.72529,more_than_0.20_above
MOQZUN,Ru,O,7,2.43677,2.41400,0.02277,0_to_0.025_above
MOSWAS,Ni,C,7,3.18553,2.43500,0.75053,more_than_0.20_above
MOSWEW,Ni,C,7,3.20623,2.43500,0.77123,more_than_0.20_above
MOXGIR,V,N,4,2.45487,2.45000,0.00487,0_to_0.025_above
MOXGOX,V,N,4,2.45828,2.45000,0.00828,0_to_0.025_above
MOXGUD,V,N,4,2.45506,2.45000,0.00506,0_to_0.025_above
MOYCUY,Ni,C,4,2.85141,2.43500,0.41641,more_than_0.20_above
MOYDAF,Ni,C,25,2.82443,2.43500,0.38943,more_than_0.20_above
MOZXOO,Pd,N,7,2.28651,2.27500,0.01151,0_to_0.025_above
MUCDAP,Mo,O,6,2.52342,2.44400,0.07942,0.05_to_0.10_above
MUCDIX,Mo,O,6,2.53132,2.44400,0.08732,0.05_to_0.10_above
MUCWAK,Ir,N,8,2.44225,2.30500,0.13725,0.10_to_0.20_above
MUFHEC,V,N,4,2.46381,2.45000,0.01381,0_to_0.025_above
MUFHIG,V,N,3,2.52653,2.45000,0.07653,0.05_to_0.10_above
MUFKUU,Mo,N,34,2.57936,2.51800,0.06136,0.05_to_0.10_above
MULVEV,Au,C,6,2.34712,2.28100,0.06612,0.05_to_0.10_above
MUMGIK,Re,N,5,2.39134,2.35200,0.03934,0.025_to_0.05_above
MUMGOQ,Re,N,8,2.35203,2.35200,0.00003,0_to_0.025_above
MUMGUW,Re,N,3,2.35330,2.35200,0.00130,0_to_0.025_above
MUQMAN,Mo,O,7,2.52243,2.44400,0.07843,0.05_to_0.10_above
MUTSEB,Pd,C,5,2.25034,2.49900,-0.24866,within_cutoff_but_pruned
MUTSOL,Pd,C,6,2.13270,2.49900,-0.36630,within_cutoff_but_pruned
NAGMOZ,Ta,O,7,2.42127,2.40700,0.01427,0_to_0.025_above
NAGTIZ,Ir,C,65,3.27426,2.36200,0.91226,more_than_0.20_above
NAKJIS,Ru,C,10,3.39912,2.39600,1.00312,more_than_0.20_above
NAKRAV,Pd,S,2,2.52479,2.50100,0.02379,0_to_0.025_above
NAQXIM,Fe,C,17,2.88191,2.32900,0.55291,more_than_0.20_above
NAWVAJ,Nb,C,23,3.20367,2.64000,0.56367,more_than_0.20_above
NAZJON,Hf,C,45,2.71998,2.71100,0.00898,0_to_0.025_above
NAZJON,Hf,C,7,2.71999,2.71100,0.00899,0_to_0.025_above
NAZSAL,Pd,C,2,2.05524,2.49900,-0.44376,within_cutoff_but_pruned
NEBSOC,Pt,O,40,2.31271,2.29500,0.01771,0_to_0.025_above
NEBSOC,Pt,O,37,2.33759,2.29500,0.04259,0.025_to_0.05_above
NEBSOC,Pt,O,42,2.34593,2.29500,0.05093,0.05_to_0.10_above
NECHAF,W,N,4,2.50383,2.48100,0.02283,0_to_0.025_above
NECROC,Ti,O,2,2.44171,2.34500,0.09671,0.05_to_0.10_above
NEKQOJ,Ti,O,41,2.35125,2.34500,0.00625,0_to_0.025_above
NELVOS,Mo,O,3,2.54016,2.44400,0.09616,0.05_to_0.10_above
NEMKUM,Ti,O,39,2.35073,2.34500,0.00573,0_to_0.025_above
NENSUV,Ti,O,3,2.38975,2.34500,0.04475,0.025_to_0.05_above
NENZEM,Tc,N,3,2.33708,2.33700,0.00008,0_to_0.025_above
NESDAQ,Re,N,7,2.36440,2.35200,0.01240,0_to_0.025_above
NESDAQ,Re,N,6,2.36459,2.35200,0.01259,0_to_0.025_above
NESDAQ,Re,N,5,2.36461,2.35200,0.01261,0_to_0.025_above
NESPIK,W,P,4,2.73860,2.68100,0.05760,0.05_to_0.10_above
NEWPUD,Ta,O,72,2.70924,2.40700,0.30224,more_than_0.20_above
NEWZEU,Hg,C,4,2.14363,2.85100,-0.70737,within_cutoff_but_pruned
NEXNAF,Cr,C,16,3.04521,2.40800,0.63721,more_than_0.20_above
NEXSOZ,Re,O,2,2.33192,2.31200,0.01992,0_to_0.025_above
NEXSUF,Re,O,2,2.43199,2.31200,0.11999,0.10_to_0.20_above
NICNOF,Pd,O,77,2.37650,2.32100,0.05550,0.05_to_0.10_above
NIDCIO,Pt,N,43,2.31355,2.28600,0.02755,0.025_to_0.05_above
NIDCUA,Pt,N,32,2.28628,2.28600,0.00028,0_to_0.025_above
NIKFAR,Ir,C,6,2.36377,2.36200,0.00177,0_to_0.025_above
NIKPOM,Re,N,10,2.38532,2.35200,0.03332,0.025_to_0.05_above
NIKPUS,Re,N,12,2.38671,2.35200,0.03471,0.025_to_0.05_above
NIRKUU,V,C,6,2.46630,2.45800,0.00830,0_to_0.025_above
NIRKUU,V,C,8,2.46630,2.45800,0.00830,0_to_0.025_above
NISQOY,Ti,C,15,2.67443,2.59200,0.08243,0.05_to_0.10_above
NISQOY,Ti,C,14,2.67967,2.59200,0.08767,0.05_to_0.10_above
NISQUE,Ti,C,14,2.66057,2.59200,0.06857,0.05_to_0.10_above
NISQUE,Ti,C,13,2.66611,2.59200,0.07411,0.05_to_0.10_above
NISTUG,Zn,C,42,2.05862,2.56400,-0.50538,within_cutoff_but_pruned
NISVES,Zn,C,39,2.06062,2.56400,-0.50338,within_cutoff_but_pruned
NISVIW,Zn,C,26,2.06173,2.56400,-0.50227,within_cutoff_but_pruned
NITGOM,Rh,C,12,3.07407,2.43700,0.63707,more_than_0.20_above
NIVMOX,Pt,Cl,70,2.50973,2.50100,0.00873,0_to_0.025_above
NIVWEV,Os,Si,2,2.64646,2.62400,0.02246,0_to_0.025_above
NIVWEV,Os,Si,3,2.64653,2.62400,0.02253,0_to_0.025_above
NODRAZ,Ru,N,43,2.41495,2.33000,0.08495,0.05_to_0.10_above
NODRAZ,Ru,N,5,2.41496,2.33000,0.08496,0.05_to_0.10_above
NOMGUU,Ta,O,5,2.48597,2.40700,0.07897,0.05_to_0.10_above
NOMHIJ,Ta,O,5,2.45298,2.40700,0.04598,0.025_to_0.05_above
NOQZUQ,Pt,P,2,2.47186,2.45100,0.02086,0_to_0.025_above
NOSZEA,Cu,C,11,3.13205,2.67200,0.46005,more_than_0.20_above
NOSZIE,Cu,C,10,3.15128,2.67200,0.47928,more_than_0.20_above
NOYREA,Pd,C,75,2.66949,2.49900,0.17049,0.10_to_0.20_above
NUCZUI,Cr,C,13,2.57348,2.40800,0.16548,0.10_to_0.20_above
NUHBUN,Ti,N,5,2.52716,2.47800,0.04916,0.025_to_0.05_above
NUHCAU,Ti,N,4,2.59441,2.47800,0.11641,0.10_to_0.20_above
NUKFOQ,Pd,N,3,2.28839,2.27500,0.01339,0_to_0.025_above
NULMUC,Ta,N,7,2.63566,2.53300,0.10266,0.10_to_0.20_above
NULNAJ,Ta,N,7,2.63595,2.53300,0.10295,0.10_to_0.20_above
NUMZIE,W,O,6,2.50314,2.42000,0.08314,0.05_to_0.10_above
NUVNAU,Pt,O,39,2.38217,2.29500,0.08717,0.05_to_0.10_above
NUXQEE,Re,C,6,2.46911,2.41800,0.05111,0.05_to_0.10_above
NUXTUV,W,N,7,2.54348,2.48100,0.06248,0.05_to_0.10_above
OCOWEJ,Ti,O,4,2.44883,2.34500,0.10383,0.10_to_0.20_above
OCOWIN,Ti,O,3,2.39795,2.34500,0.05295,0.05_to_0.10_above
ODALIP,Ni,C,4,2.76886,2.43500,0.33386,more_than_0.20_above
ODUFUO,Zr,C,14,2.72691,2.71700,0.00991,0_to_0.025_above
OEDTAV,V,N,25,2.47210,2.45000,0.02210,0_to_0.025_above
OEDTAV,V,N,24,2.47215,2.45000,0.02215,0_to_0.025_above
OFIJES,Pt,N,10,2.30093,2.28600,0.01493,0_to_0.025_above
OFIJIW,Pt,N,8,2.29808,2.28600,0.01208,0_to_0.025_above
OFIJOC,Pt,N,21,2.38888,2.28600,0.10288,0.10_to_0.20_above
OFIJOC,Pt,N,3,2.38897,2.28600,0.10297,0.10_to_0.20_above
OFIJUI,Pt,N,11,2.38798,2.28600,0.10198,0.10_to_0.20_above
OFIJUI,Pt,N,12,2.39456,2.28600,0.10856,0.10_to_0.20_above
OFOWEL,Rh,N,5,2.40909,2.36700,0.04209,0.025_to_0.05_above
OGAHOT,W,C,75,3.30834,2.50200,0.80634,more_than_0.20_above
OGAHOT,W,C,31,3.39454,2.50200,0.89254,more_than_0.20_above
OGAHOT,W,C,53,3.39736,2.50200,0.89536,more_than_0.20_above
OGIDAK,Mo,C,2,3.34638,2.53600,0.81038,more_than_0.20_above
OGIDEO,Mo,C,2,3.33175,2.53600,0.79575,more_than_0.20_above
OHUPIR,Os,C,26,2.39656,2.39500,0.00156,0_to_0.025_above
OKOGEA,Pd,N,5,2.29003,2.27500,0.01503,0_to_0.025_above
OKOGIE,Pd,C,17,3.29129,2.49900,0.79229,more_than_0.20_above
OKUQOA,Rh,C,17,3.27215,2.43700,0.83515,more_than_0.20_above
OMETUW,Pt,S,50,2.57066,2.51100,0.05966,0.05_to_0.10_above
ONAXAD,Ni,S,35,2.69208,2.62200,0.07008,0.05_to_0.10_above
ONUHIP,Ru,Cl,2,2.62139,2.60300,0.01839,0_to_0.025_above
OPEKOL,Pd,N,12,2.27597,2.27500,0.00097,0_to_0.025_above
OPUHAJ,Re,Se,2,2.71029,2.70100,0.00929,0_to_0.025_above
OPUHAJ,Re,Se,3,2.71031,2.70100,0.00931,0_to_0.025_above
OTUQUR,Ru,O,5,2.41452,2.41400,0.00052,0_to_0.025_above
OTUREB,Ir,C,17,2.36928,2.36200,0.00728,0_to_0.025_above
OWIRES,Au,C,6,2.36215,2.28100,0.08115,0.05_to_0.10_above
OWIRUI,Au,C,3,2.29474,2.28100,0.01374,0_to_0.025_above
OWIRUI,Au,C,5,2.30456,2.28100,0.02356,0_to_0.025_above
OWULAU,Ti,N,5,2.48464,2.47800,0.00664,0_to_0.025_above
OWULAU,Ti,N,6,2.48494,2.47800,0.00694,0_to_0.025_above
PAHWOK,Fe,C,21,3.21635,2.32900,0.88735,more_than_0.20_above
PAJPEV,Pd,N,4,2.29261,2.27500,0.01761,0_to_0.025_above
PAJQAS,Pd,N,5,2.29134,2.27500,0.01634,0_to_0.025_above
PAKTUR,Ta,N,19,2.57464,2.53300,0.04164,0.025_to_0.05_above
PAKYOS,Re,S,2,2.61703,2.60300,0.01403,0_to_0.025_above
PAXFEA,Pt,S,4,2.54568,2.51100,0.03468,0.025_to_0.05_above
PAXFEA,Pt,S,3,2.54578,2.51100,0.03478,0.025_to_0.05_above
PAXFEA,Pt,S,2,2.54592,2.51100,0.03492,0.025_to_0.05_above
PAXMAD,Ru,N,7,2.35373,2.33000,0.02373,0_to_0.025_above
PAXZUJ,Nb,C,18,3.18799,2.64000,0.54799,more_than_0.20_above
PEBRAS,Ru,N,9,2.51762,2.33000,0.18762,0.10_to_0.20_above
PEBXAV,Ti,O,9,4.40594,2.34500,2.06094,more_than_0.20_above
PEDFUZ,W,C,13,2.50779,2.50200,0.00579,0_to_0.025_above
PEDHAI,Ir,C,10,3.06353,2.36200,0.70153,more_than_0.20_above
PEDHAI,Ir,C,13,3.07067,2.36200,0.70867,more_than_0.20_above
PENOFE,Fe,C,12,2.34498,2.32900,0.01598,0_to_0.025_above
PENZOX,Ru,N,4,2.33116,2.33000,0.00116,0_to_0.025_above
PEQTOU,Pt,N,5,2.31326,2.28600,0.02726,0.025_to_0.05_above
PERYIU,V,N,4,2.50550,2.45000,0.05550,0.05_to_0.10_above
PETMIL,Pt,Cl,17,2.50190,2.50100,0.00090,0_to_0.025_above
PEWXEW,Re,N,4,2.39724,2.35200,0.04524,0.025_to_0.05_above
PEXVIX,Ta,N,5,2.59800,2.53300,0.06500,0.05_to_0.10_above
PICNEU,Hf,C,9,2.71323,2.71100,0.00223,0_to_0.025_above
PICNEU,Hf,C,33,2.71326,2.71100,0.00226,0_to_0.025_above
PIDTOL,Re,N,5,2.36409,2.35200,0.01209,0_to_0.025_above
PIDTOL,Re,N,6,2.36420,2.35200,0.01220,0_to_0.025_above
PIDTOL,Re,N,7,2.36454,2.35200,0.01254,0_to_0.025_above
PIFQUS,Pt,O,19,2.38905,2.29500,0.09405,0.05_to_0.10_above
PIGXAG,Zn,C,4,2.14594,2.56400,-0.41806,within_cutoff_but_pruned
PIGXAG,Zn,C,60,2.17184,2.56400,-0.39216,within_cutoff_but_pruned
PIKREJ,Mo,O,11,2.55394,2.44400,0.10994,0.10_to_0.20_above
PIKRIN,Mo,O,9,2.61792,2.44400,0.17392,0.10_to_0.20_above
PILMUS,Pt,Cl,2,2.52251,2.50100,0.02151,0_to_0.025_above
PILPUV,V,N,8,2.45864,2.45000,0.00864,0_to_0.025_above
PIPXIV,Zr,C,22,2.72003,2.71700,0.00303,0_to_0.025_above
PIPXIV,Zr,C,23,2.72331,2.71700,0.00631,0_to_0.025_above
PIPYUK,Tc,N,5,2.34770,2.33700,0.01070,0_to_0.025_above
PIQSUG,Pt,N,7,2.35682,2.28600,0.07082,0.05_to_0.10_above
PIQTAN,Pt,N,6,2.35251,2.28600,0.06651,0.05_to_0.10_above
PIQTER,Pt,N,5,2.28681,2.28600,0.00081,0_to_0.025_above
PIXTIZ,Ti,N,5,2.52552,2.47800,0.04752,0.025_to_0.05_above
PIYPES,Fe,C,11,2.36742,2.32900,0.03842,0.025_to_0.05_above
POCDAN,V,N,31,2.45785,2.45000,0.00785,0_to_0.025_above
POFSUA,Zn,C,35,2.13084,2.56400,-0.43316,within_cutoff_but_pruned
POFSUA,Zn,C,36,2.63277,2.56400,0.06877,0.05_to_0.10_above
PONJIL,Mn,C,9,2.36347,2.35700,0.00647,0_to_0.025_above
PONJIL,Mn,C,8,2.36715,2.35700,0.01015,0_to_0.025_above
PONJOR,Mn,C,8,2.41933,2.35700,0.06233,0.05_to_0.10_above
PONJOR,Mn,C,9,2.44520,2.35700,0.08820,0.05_to_0.10_above
POPWUM,Os,N,6,2.39699,2.31900,0.07799,0.05_to_0.10_above
PORLAK,W,N,7,2.50575,2.48100,0.02475,0_to_0.025_above
PORLEO,W,N,5,2.58970,2.48100,0.10870,0.10_to_0.20_above
POXDUC,W,N,7,2.51484,2.48100,0.03384,0.025_to_0.05_above
POYGEQ,Ir,C,41,2.23475,2.36200,-0.12725,within_cutoff_but_pruned
POZSIG,Zr,C,49,2.74113,2.71700,0.02413,0_to_0.025_above
PUGWOD,V,O,7,2.46159,2.41000,0.05159,0.05_to_0.10_above
PUJNIR,Cu,C,10,2.23716,2.67200,-0.43484,within_cutoff_but_pruned
PUJNIR,Cu,C,19,2.23883,2.67200,-0.43317,within_cutoff_but_pruned
PUMBAA,W,C,6,2.51572,2.50200,0.01372,0_to_0.025_above
PUMDAD,Pd,N,64,2.28830,2.27500,0.01330,0_to_0.025_above
PUMGIO,Pt,N,6,2.42158,2.28600,0.13558,0.10_to_0.20_above
PUVBIR,Ni,S,2,2.73598,2.62200,0.11398,0.10_to_0.20_above
PUXSUX,Pt,C,6,3.29670,2.36600,0.93070,more_than_0.20_above
QADJOV,Os,N,27,2.34725,2.31900,0.02825,0.025_to_0.05_above
QADJUB,Os,N,21,2.35671,2.31900,0.03771,0.025_to_0.05_above
QAGBEG,Os,N,15,2.32712,2.31900,0.00812,0_to_0.025_above
QAGBEG,Os,N,18,2.33797,2.31900,0.01897,0_to_0.025_above
QAHDEJ,Pd,N,54,2.30226,2.27500,0.02726,0.025_to_0.05_above
QAHPOG,Pt,N,4,2.29114,2.28600,0.00514,0_to_0.025_above
QAPBUG,Mo,N,8,2.58620,2.51800,0.06820,0.05_to_0.10_above
QAQVEJ,Ta,C,18,2.32361,2.62300,-0.29939,within_cutoff_but_pruned
QARMOM,Re,N,8,2.44678,2.35200,0.09478,0.05_to_0.10_above
QAYKAF,Re,C,8,2.45890,2.41800,0.04090,0.025_to_0.05_above
QAYXUJ,W,N,7,2.57360,2.48100,0.09260,0.05_to_0.10_above
QEHZOS,Pt,Cl,47,2.51326,2.50100,0.01226,0_to_0.025_above
QEJHUJ,Cu,C,36,2.85835,2.67200,0.18635,0.10_to_0.20_above
QEKLAU,Ir,C,5,2.21660,2.36200,-0.14540,within_cutoff_but_pruned
QEPCAP,V,O,2,2.73452,2.41000,0.32452,more_than_0.20_above
QEXHEH,Zr,N,81,2.72184,2.60400,0.11784,0.10_to_0.20_above
QICJUI,Ta,O,4,2.49465,2.40700,0.08765,0.05_to_0.10_above
QIGPON,Rh,C,53,3.04227,2.43700,0.60527,more_than_0.20_above
QIGYIQ,Zr,C,44,2.72932,2.71700,0.01232,0_to_0.025_above
QIGZAJ,Zr,C,47,2.73795,2.71700,0.02095,0_to_0.025_above
QOCJAU,Co,C,5,3.16504,2.27000,0.89504,more_than_0.20_above
QODHOG,Ta,N,7,2.59490,2.53300,0.06190,0.05_to_0.10_above
QODLUR,Ru,N,78,2.46499,2.33000,0.13499,0.10_to_0.20_above
QOKSEO,Re,N,7,2.35322,2.35200,0.00122,0_to_0.025_above
QOLPUC,Re,N,4,2.62162,2.35200,0.26962,more_than_0.20_above
QOPSUL,Fe,C,11,2.42750,2.32900,0.09850,0.05_to_0.10_above
QOPYEZ,Hf,C,16,2.71966,2.71100,0.00866,0_to_0.025_above
QOPYEZ,Hf,C,17,2.72937,2.71100,0.01837,0_to_0.025_above
QOPYID,Zr,C,17,2.72336,2.71700,0.00636,0_to_0.025_above
QOPZUR,Au,C,7,3.22643,2.28100,0.94543,more_than_0.20_above
QOVRIC,Pd,N,4,2.32100,2.27500,0.04600,0.025_to_0.05_above
QOVROI,Pd,N,4,2.27881,2.27500,0.00381,0_to_0.025_above
QOXBIP,W,N,9,2.51982,2.48100,0.03882,0.025_to_0.05_above
QOZMUP,Mo,N,7,2.52652,2.51800,0.00852,0_to_0.025_above
QUBJIG,Re,O,3,2.31441,2.31200,0.00241,0_to_0.025_above
QUDJII,W,C,14,2.21949,2.50200,-0.28251,within_cutoff_but_pruned
QUDJII,W,C,12,2.53500,2.50200,0.03300,0.025_to_0.05_above
QUDJII,W,C,4,2.53669,2.50200,0.03469,0.025_to_0.05_above
QUGJAE,Pt,C,11,2.38878,2.36600,0.02278,0_to_0.025_above
QUGJAE,Pt,C,12,2.40934,2.36600,0.04334,0.025_to_0.05_above
QUHVUK,Re,N,5,2.52322,2.35200,0.17122,0.10_to_0.20_above
QUSBUB,Ru,C,7,2.40832,2.39600,0.01232,0_to_0.025_above
QUSBUB,Ru,C,8,2.42711,2.39600,0.03111,0.025_to_0.05_above
QUSCAI,Ru,C,6,2.39743,2.39600,0.00143,0_to_0.025_above
QUWBEQ,Pt,C,31,2.38783,2.36600,0.02183,0_to_0.025_above
QUWBIU,Pt,C,29,2.39379,2.36600,0.02779,0.025_to_0.05_above
RABLEH,Mo,C,35,3.19779,2.53600,0.66179,more_than_0.20_above
RABLEH,Mo,C,33,3.20083,2.53600,0.66483,more_than_0.20_above
RACHIN,Os,N,10,2.33307,2.31900,0.01407,0_to_0.025_above
RACWAT,W,N,4,2.52210,2.48100,0.04110,0.025_to_0.05_above
RAGHEM,Pd,N,10,2.27685,2.27500,0.00185,0_to_0.025_above
RAJZAG,Mo,O,6,2.49961,2.44400,0.05561,0.05_to_0.10_above
RAKPUR,Nb,C,6,3.09103,2.64000,0.45103,more_than_0.20_above
RAKQEC,Nb,C,16,2.97318,2.64000,0.33318,more_than_0.20_above
RALDOZ,Ti,N,80,2.52042,2.47800,0.04242,0.025_to_0.05_above
RAMQAZ,Ru,O,6,2.42035,2.41400,0.00635,0_to_0.025_above
RAMSIJ,Nb,C,3,3.21927,2.64000,0.57927,more_than_0.20_above
RAMVOS,Zr,O,6,2.54146,2.51900,0.02246,0_to_0.025_above
RAPGUK,Re,C,9,2.41870,2.41800,0.00070,0_to_0.025_above
RAPGUK,Re,C,5,2.45257,2.41800,0.03457,0.025_to_0.05_above
RAPLAX,Ru,N,7,2.37672,2.33000,0.04672,0.025_to_0.05_above
RAQJEZ,Pt,O,12,2.36208,2.29500,0.06708,0.05_to_0.10_above
RAQJOJ,Pt,O,9,2.31086,2.29500,0.01586,0_to_0.025_above
RAQPOP,Re,N,7,2.37634,2.35200,0.02434,0_to_0.025_above
RATSEK,Cr,C,9,2.41393,2.40800,0.00593,0_to_0.025_above
RATSEK,Cr,C,8,2.50010,2.40800,0.09210,0.05_to_0.10_above
RAWJIL,Mo,C,13,3.09286,2.53600,0.55686,more_than_0.20_above
RAZDUT,Re,O,3,2.34266,2.31200,0.03066,0.025_to_0.05_above
RAZFAZ,Zr,N,5,2.73914,2.60400,0.13514,0.10_to_0.20_above
RAZKEI,Ru,N,4,2.34515,2.33000,0.01515,0_to_0.025_above
REBYUS,Mo,N,9,2.59315,2.51800,0.07515,0.05_to_0.10_above
RECHIS,Zr,C,33,3.52993,2.71700,0.81293,more_than_0.20_above
RECLIV,Os,N,15,2.32479,2.31900,0.00579,0_to_0.025_above
RECLIV,Os,N,18,2.37222,2.31900,0.05322,0.05_to_0.10_above
RECNUI,Re,N,15,2.37493,2.35200,0.02293,0_to_0.025_above
REFCIQ,Re,Br,2,2.74836,2.73000,0.01836,0_to_0.025_above
REFCIQ,Re,S,5,2.61308,2.60300,0.01008,0_to_0.025_above
REHXAD,Re,S,14,2.72574,2.60300,0.12274,0.10_to_0.20_above
REHXIL,Re,S,4,2.68722,2.60300,0.08422,0.05_to_0.10_above
REPWAM,Ru,N,74,2.40954,2.33000,0.07954,0.05_to_0.10_above
RERGIG,Pt,N,23,2.29626,2.28600,0.01026,0_to_0.025_above
RERGIG,Pt,N,22,2.29854,2.28600,0.01254,0_to_0.025_above
RERGOM,Pt,N,69,2.29015,2.28600,0.00415,0_to_0.025_above
RERGOM,Pt,N,67,2.35711,2.28600,0.07111,0.05_to_0.10_above
RERGUS,Pt,N,8,2.31195,2.28600,0.02595,0.025_to_0.05_above
RERGUS,Pt,N,41,2.35987,2.28600,0.07387,0.05_to_0.10_above
RETNUB,Re,O,12,2.45247,2.31200,0.14047,0.10_to_0.20_above
REVWAR,Pd,N,2,2.29089,2.27500,0.01589,0_to_0.025_above
REVWAR,Pd,N,3,2.30266,2.27500,0.02766,0.025_to_0.05_above
REWYAU,Ti,N,15,2.58849,2.47800,0.11049,0.10_to_0.20_above
REYLUD,Os,C,49,2.33587,2.39500,-0.05913,within_cutoff_but_pruned
REYRIW,V,N,6,2.47411,2.45000,0.02411,0_to_0.025_above
RIKGEZ,Sc,C,53,2.62194,2.61700,0.00494,0_to_0.025_above
RINGON,Ir,C,36,3.07462,2.36200,0.71262,more_than_0.20_above
RIVFUY,Re,N,6,2.43279,2.35200,0.08079,0.05_to_0.10_above
RIZJER,Zr,C,76,3.58859,2.71700,0.87159,more_than_0.20_above
RIZTOL,Pt,N,6,2.43160,2.28600,0.14560,0.10_to_0.20_above
RIZYIK,Re,N,7,2.43822,2.35200,0.08622,0.05_to_0.10_above
ROBCER,Pt,N,65,2.29261,2.28600,0.00661,0_to_0.025_above
ROBLOL,Cu,C,20,3.26495,2.67200,0.59295,more_than_0.20_above
ROBLOL,Cu,C,25,3.26517,2.67200,0.59317,more_than_0.20_above
ROBLUR,Cu,C,5,3.23607,2.67200,0.56407,more_than_0.20_above
ROBLUR,Cu,C,40,3.23709,2.67200,0.56509,more_than_0.20_above
ROCVEN,Mo,O,8,2.45877,2.44400,0.01477,0_to_0.025_above
RODMEC,Pd,N,6,2.28703,2.27500,0.01203,0_to_0.025_above
RODNON,Pd,N,5,2.30354,2.27500,0.02854,0.025_to_0.05_above
ROFSAG,Fe,C,9,3.45118,2.32900,1.12218,more_than_0.20_above
ROJPAH,Pt,N,36,2.34734,2.28600,0.06134,0.05_to_0.10_above
ROJPAH,Pt,N,37,2.34745,2.28600,0.06145,0.05_to_0.10_above
ROMKUZ,Re,C,13,2.42264,2.41800,0.00464,0_to_0.025_above
ROMLIO,Pt,N,7,2.34219,2.28600,0.05619,0.05_to_0.10_above
ROXFER,Ru,N,4,2.33374,2.33000,0.00374,0_to_0.025_above
ROYFUI,Au,C,71,3.35808,2.28100,1.07708,more_than_0.20_above
RUCLAD,Pd,S,4,2.73421,2.50100,0.23321,more_than_0.20_above
RUKPES,Re,N,7,2.44463,2.35200,0.09263,0.05_to_0.10_above
RUMVEC,W,N,3,2.49804,2.48100,0.01704,0_to_0.025_above
RUMVIG,W,N,3,2.49990,2.48100,0.01890,0_to_0.025_above
RUPXUW,Pt,C,5,2.39090,2.36600,0.02490,0_to_0.025_above
RUZZAN,W,C,11,2.57431,2.50200,0.07231,0.05_to_0.10_above
RUZZAN,W,C,10,2.57736,2.50200,0.07536,0.05_to_0.10_above
SADVUP,Pd,O,5,2.37325,2.32100,0.05225,0.05_to_0.10_above
SAFMUK,Pd,C,5,3.26116,2.49900,0.76216,more_than_0.20_above
SAFVIF,Mo,O,5,2.53703,2.44400,0.09303,0.05_to_0.10_above
SAJQIE,W,C,13,2.50277,2.50200,0.00077,0_to_0.025_above
SAKFOB,Re,O,10,2.32332,2.31200,0.01132,0_to_0.025_above
SAKLOI,V,O,3,2.42508,2.41000,0.01508,0_to_0.025_above
SAKREB,W,C,34,3.05241,2.50200,0.55041,more_than_0.20_above
SANMID,Fe,C,11,2.14065,2.32900,-0.18835,within_cutoff_but_pruned
SARQOT,Os,Cl,2,2.61480,2.60200,0.01280,0_to_0.025_above
SAWMIP,Re,O,27,2.31541,2.31200,0.00341,0_to_0.025_above
SAWPOW,Ru,N,3,2.33221,2.33000,0.00221,0_to_0.025_above
SEDKIV,Pd,N,3,2.27549,2.27500,0.00049,0_to_0.025_above
SEDKIV,Pd,N,2,2.27554,2.27500,0.00054,0_to_0.025_above
SEGPOK,Ir,N,30,2.35823,2.30500,0.05323,0.05_to_0.10_above
SEKXOV,Pt,O,7,2.30906,2.29500,0.01406,0_to_0.025_above
SEMHUQ,Os,N,75,2.32881,2.31900,0.00981,0_to_0.025_above
SEPNAC,Re,N,6,2.47533,2.35200,0.12333,0.10_to_0.20_above
SEPZOC,Cr,C,7,2.41365,2.40800,0.00565,0_to_0.025_above
SEPZOC,Cr,C,8,2.41956,2.40800,0.01156,0_to_0.025_above
SEQVAL,Ru,C,8,2.42272,2.39600,0.02672,0.025_to_0.05_above
SEWCAZ,V,N,9,2.46193,2.45000,0.01193,0_to_0.025_above
SIDMIB,W,O,46,2.43260,2.42000,0.01260,0_to_0.025_above
SIGQII,W,C,16,2.59002,2.50200,0.08802,0.05_to_0.10_above
SIGQII,W,C,12,2.59009,2.50200,0.08809,0.05_to_0.10_above
SIGXOV,W,C,13,3.30960,2.50200,0.80760,more_than_0.20_above
SIKVEP,Zn,C,35,2.15533,2.56400,-0.40867,within_cutoff_but_pruned
SIKZOE,Cr,C,12,2.43142,2.40800,0.02342,0_to_0.025_above
SIKZUK,Cr,C,12,2.42405,2.40800,0.01605,0_to_0.025_above
SILVUE,Mo,C,21,3.13540,2.53600,0.59940,more_than_0.20_above
SILZOC,Cr,C,28,3.32255,2.40800,0.91455,more_than_0.20_above
SIWSAU,Rh,C,26,2.24406,2.43700,-0.19294,within_cutoff_but_pruned
SIXBIN,Mo,O,5,2.50198,2.44400,0.05798,0.05_to_0.10_above
SIXBOQ,Pd,N,4,2.34725,2.27500,0.07225,0.05_to_0.10_above
SOKVAP,Pt,N,5,2.34960,2.28600,0.06360,0.05_to_0.10_above
SOLSIV,W,C,12,2.47638,2.50200,-0.02562,within_cutoff_but_pruned
SOSQOG,Re,N,5,2.39751,2.35200,0.04551,0.025_to_0.05_above
SOSQOG,Re,N,6,2.39765,2.35200,0.04565,0.025_to_0.05_above
SOTPID,Mo,O,5,2.47162,2.44400,0.02762,0.025_to_0.05_above
