IDs,priority_tier,consensus_outlier_score,ligand_outlier,metal_connectivity_outlier,metal_oxidation_outlier,metal,formula,n_atoms,ilp_neighbors,reference_neighbors,ilp_oxidation,reference_oxidation
CURFAY,C,1,0,1,0,Ti,C13 H22 Cl3 N1 Ti1,40,C C C C C Cl Cl Cl,C C C C C Cl Cl Cl N,4,4
CUSNIN,C,1,0,1,0,Zr,C32 H20 Cl2 Zr1,55,C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
CUSQAI,C,1,0,1,0,Zr,C33 H22 Cl2 Zr1,58,C C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
CUXVAS,C,1,0,1,0,Pt,C14 H22 N6 O6 Pt1,49,N N O,C N N O,2,2
DABKAT,C,1,0,1,0,Zr,C24 H26 B1 Cl2 N1 Zr1,55,C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
DACTIK,C,1,0,1,0,W,C24 H30 N2 S5 W1,62,C S S S S S,C C S S S S S,4,4
DACTOQ,C,1,0,1,0,W,C21 H33 O1 P2 W1 1+,58,C C C C C C P P,C C C C C C C P P,2,2
DAGNUV,C,1,0,1,0,Pd,C39 H25 Cl8 N1 O4 Pd1,78,C C O O,C C N O O,4,4
DAHLIJ,C,1,0,1,0,Re,C33 H45 Cl1 P3 Re1,83,C C Cl P P P,C C C Cl P P P,3,3
DAHXER,C,1,0,0,1,Ni,C40 H35 Br1 N1 Ni1 P2 S1 1+,81,Br C P P,Br C P P,4,2
DAJLAC,C,1,0,0,1,Cr,C16 H24 Cr1 O2 Si2,45,C C C C C C C C C H,C C C C C C C C C,0,2
DAJLOS,C,1,1,0,0,Zn,C19 H19 N7 O3 S3 Zn1,52,N N N O,C N N N O,2,2
DAJPEL,C,1,0,1,0,Hf,C22 H45 Hf1 N3 O3,74,N O O O,N N N O O O,4,4
DAKNEI,C,1,0,1,0,Ni,C20 H26 Ni1 P2,49,C P P,C C P P,0,0
DANLAF,C,1,0,1,0,Ni,C38 H32 Ni1 P2,73,C P P,C C P P,0,0
DANMOW,C,1,0,0,1,Ru,C15 H33 Cl1 N2 O3 Ru1 S3,58,C C Cl S S S,C C Cl S S S,4,2
DAPGUY,C,1,0,0,1,Au,C19 H27 Au1 Cl1 N5 S2,55,Cl N S S,Cl N S S,1,3
DAPHEJ,C,1,0,0,1,Au,C18 H23 Au1 N6 O1 S3,52,N S S S,N S S S,1,3
DAPHIN,C,1,0,0,1,Au,C18 H23 Au1 N6 O1 S2,51,C N S S,C N S S,1,3
DAPHOT,C,1,0,0,1,Au,C20 H27 Au1 N6 S2,56,C N S S,C N S S,1,3
DAPZIF,C,1,0,1,0,Pd,C16 H18 Br2 N2 O1 Pd1 S1,41,Br Br N S,Br Br N N S,2,2
DARYAZ,C,1,0,0,1,Pd,C33 H21 N4 Pd1 1+,59,N N N N,N N N N,4,2
DAYLUM,C,1,0,0,1,Ru,C38 H26 N8 Ru1,73,N N N N N N,N N N N N N,6,2
DAZGOD,C,1,0,1,0,V,C20 H23 N2 O7 V1,53,N O O O O,N O O O O O,5,5
DEBYAL,C,1,0,1,0,Pt,C38 H33 Cl1 O1 P2 Pt1,76,C P P,C Cl P P,2,2
DECJEA,C,1,1,0,0,Zr,C35 H31 P1 Zr1,68,C C C C C C C C C C C C,C C C C C C C C C C C C,4,4
DEDJEC,C,1,1,0,0,Zn,C36 H38 I1 N6 Zn1 1+,82,C C I,C C I N N,2,2
DEDVIS,C,1,0,1,0,Ir,C34 H39 Br1 Ir1 N2 P1,78,C C C C C P,Br C C C C C P,1,-1
DEFHAY,C,1,0,1,0,Re,C15 H10 Br1 N2 O4 Re1 S2,35,Br C C C N,Br C C C N S,1,1
DEJTOD,C,1,0,1,0,Rh,C24 H35 N1 P2 Rh1 1+,63,C C C C P P,C C C C C C P P,1,1
DEJXAS,C,1,0,1,0,Ti,C18 H34 N2 O4 Ti1,59,O O O O,N N O O O O,4,4
DELHUX,C,1,0,1,0,W,C9 H16 O2 Si1 W1,29,C C C C O O,C C C C C C O O,6,6
DEMFEJ,C,1,0,1,0,Mo,C37 H33 Mo1 N1 O3 P2,77,C C C P P,C C C N P P,0,0
DEMZOL,C,1,1,0,0,Pt,C30 H24 Cl2 N4 P2 Pt1 S4,67,P P S S,P P S S,2,2
DENREU,C,1,0,1,0,Ni,C28 H34 N4 Ni1,67,C C C,C C C C,0,0
DENROE,C,1,0,1,0,Ni,C22 H38 N4 Ni1,65,C C C,C C C C,0,0
DEPQAR,C,1,0,1,0,Re,C31 H31 N1 O6 P2 Re1 1+,72,C C C P P,C C C N P P,1,1
DESDOX,C,1,0,1,0,Pd,C28 H45 O1 P3 Pd1,78,C P P P,C O P P P,2,2
DESVON,C,1,0,1,0,Ti,C33 H30 Cl2 N4 Si1 Ti1,71,Cl Cl N N N,Cl Cl N N N N,4,4
DESWAA,C,1,0,1,0,Ti,C23 H26 Cl2 N4 Ti1,56,Cl Cl N N N,Cl Cl N N N N,4,4
DETSED,C,1,0,1,0,Mo,C16 H11 Br2 F3 Mo1 N2 O5,40,N O O O O,N O O O O O,6,6
DEXBIS,C,1,0,1,0,Pt,C43 H36 P2 Pt1,82,C P P,C C P P,0,0
DEYGIX,C,1,1,0,0,Hf,C31 H31 Hf1 P1,64,C C C C C C C C C C C C,C C C C C C C C C C C C,4,4
DEYJAU,C,1,0,1,0,Mo,C14 H12 Mo1 N4 O7,38,N O O O O,N O O O O O,6,6
DEYKUO,C,1,0,1,0,Re,C32 H25 Cl3 O2 P1 Re1,64,Cl Cl Cl O P,Cl Cl Cl O O P,3,5
DIBLIK,C,1,0,1,0,Mo,C18 H16 Mo1 N4 O3 S1,43,N N O O O,N N N O O O,6,6
DIGFIJ,C,1,0,0,1,Pd,C24 H23 N5 O2 Pd1,55,N N N O,N N N O,4,2
DILCAD,C,1,0,1,0,Cu,C40 H33 Cu1 N2 P2 S1,79,C N P P S,N P P S,1,1
DIMMET,C,1,0,0,1,Pt,C15 H11 Cl1 F3 N5 Pt1,36,Cl N N N,Cl N N N,4,2
DIQVII,C,1,0,1,0,Rh,C21 H25 Cl1 N4 Rh1 1+,52,C Cl N N N,C Cl N N N N,3,3
DIRKAS,C,1,0,0,1,V,C8 H7 N3 O5 V1 1-,24,N N O O O O O,N N O O O O O,1,5
DISDEP,C,1,0,1,0,Re,C15 H19 N5 O4 Re1 1+,44,C C C N N,C C C N N N,1,1
DITDES,C,1,0,0,1,Ni,C38 H24 N4 Ni1,67,N N N N,N N N N,4,2
DITWOV,C,1,0,1,0,Zn,C32 H24 N6 O6 Zn1,69,N N O O,N N N N O O,2,2
DIYXUE,C,1,0,1,0,Zn,C8 H12 N6 O4 S2 Zn1,33,N N O O O,N N O O O O,2,2
DIZCOF,C,1,0,1,0,W,C23 H33 Cl3 N2 O1 W1,63,Cl Cl Cl N O,Cl Cl Cl N N O,6,6
DIZWUE,C,1,0,0,1,W,C28 H25 N1 O4 Si1 W1,58,C C C C C,C C C C C,2,0
DODXIE,C,1,0,1,0,Ir,C25 H21 Ir1 O1 P1 1+,49,C C C P,C C C C C C C P,1,1
DODXOK,C,1,0,1,0,Ir,C26 H23 Ir1 O1 P1 1+,52,C C C P,C C C C C C C P,1,1
DOFPOE,C,1,0,1,0,Pt,C22 H26 N5 Pt1 1+,54,C C C N N,C C C N N N,4,4
DOHNET,C,1,0,1,0,Pt,C18 H26 N1 P1 Pt1,47,C C P,C C N P,2,2
DOHNIX,C,1,0,1,0,Pt,C22 H25 I1 N1 P1 Pt1,51,C I P,C I N P,2,2
DOHPUL,C,1,0,1,0,Pt,C30 H36 N1 P1 Pt1 Si2,71,P Si Si,N P Si Si,2,2
DOJBAI,C,1,0,1,0,Re,C22 H15 N3 O4 Re1 S1 1+,46,C C C N N,C C C N N O,1,1
DOJXUV,C,1,0,1,0,Cr,C21 H24 Cr1 O3,49,C C C C C C C C,C C C C C C C C C,0,0
DOMFAN,C,1,1,0,0,Ir,C27 H31 Cl1 Ir1 N1 O1,62,C C C C C Cl N O,C C C C C Cl N O,3,3
DOMQIH,C,1,0,0,1,Fe,C38 H22 Fe1 N8,69,N N N N N N,N N N N N N,4,2
DOSXEQ,C,1,0,1,0,Ti,C29 H31 N1 Si1 Ti1,63,C C C C C C N,C C C C C C C N,4,4
DOXPOX,C,1,1,0,0,Cu,C18 H42 Cu1 I1 P2 Se2,66,I Se Se,I Se Se,1,1
DOZRUG,C,1,0,0,1,Fe,C26 H34 Fe1 N8 O2 S2,73,N N N N O O,N N N N O O,4,2
DSACNI,C,1,0,0,1,Ni,C10 H14 Ni1 S4,17,S S S S,S S S S,0,2
DUBJEP,C,1,0,1,0,W,C26 H23 Cl3 N4 P2 W1,59,Cl Cl Cl N N,Cl Cl Cl N N N,6,6
DUBVEC,C,1,0,1,0,Os,C14 H27 N3 O4 Os1,49,N O O O,N N N O O O,6,6
DUFZEL,C,1,0,1,0,Pd,C32 H32 I1 P1 Pd1,67,C I P,C C C I P,2,2
DUHGAO,C,1,1,0,0,Y,C26 H48 N1 Si2 Y1,78,C C C C C C C C C C H N,C C C C C C C C C C N,3,3
DUHKOH,C,1,0,1,0,Hg,C7 H5 Cl1 Hg1 O2,16,C Cl O,C Cl,2,2
DUNPOT,C,1,0,1,0,Zr,C28 H18 Cl2 Zr1,49,C C C C C C C C Cl Cl,C C C C C C C C C C Cl Cl,4,4
DUQRAK,C,1,0,1,0,V,C21 H25 N2 O7 V1,56,N O O O O,N O O O O O,5,5
DUSQUF,C,1,0,1,0,Ti,C26 H46 N2 Ti1,75,C C C C C C C C N N,C C C C C C C N N,4,4
DUSROA,C,1,0,1,0,Ti,C15 H28 N2 Ti1,46,C C C C C C C C N N,C C C C C C C N N,4,4
DUSSAL,C,1,0,1,0,Ni,C14 H14 Cl2 N2 Ni1 S2,35,Cl Cl N N,Cl Cl N N S S,2,2
DUTGOO,C,1,0,1,0,Pt,C9 H19 Cl2 N1 Pt1,32,C C C Cl,C C C Cl N,2,2
DUXROF,C,1,0,0,1,Ni,C48 H28 N6 Ni1,83,N N N N,N N N N,4,2
DUYREW,C,1,0,0,1,Pt,C21 H36 B1 Br1 F2 N2 P2 Pt1,66,Br C P P,Br C P P,4,2
EAIVCO,C,1,0,1,0,Co,C14 H23 Co1 N2 O3,43,C N N O O,C N N O O O,3,3
EBOXUQ,C,1,0,1,0,Cu,C40 H34 Cu1 N2 P2 S1 1+,80,C N P P S,N P P S,1,1
EBUFIR,C,1,0,1,0,Zr,C23 H34 Cl2 N2 Zr1,62,C C C C C C Cl Cl N N,C C C C C Cl Cl N N,4,4
EBUFOX,C,1,0,1,0,Zr,C21 H38 Cl2 N2 Zr1,64,C C C C C C Cl Cl N N,C C C C C Cl Cl N N,4,4
EBUGEO,C,1,0,1,0,Zr,C23 H44 N2 Zr1,70,C C C C C C C C N N,C C C C C C C N N,4,4
ECECIY,C,1,0,1,0,Re,C7 H16 N4 O4 Re1 1+,32,N N N N O,N N N N O O,5,5
ECEXIU,C,1,0,1,0,Ni,C30 H46 N6 Ni1,83,C N N N N N,N N N N N,2,2
ECILIO,C,1,0,0,1,Pt,C28 H23 Cl2 N2 O1 P1 Pt1,58,Cl Cl N P,Cl Cl N P,4,2
ECIMAF,C,1,0,1,0,Zr,C30 H36 N2 O1 Zr1,70,C C C C C C C C C C C C N O,C C C C C C C C C C C N O,4,4
ECOTEV,C,1,0,1,0,Rh,C30 H30 O1 P1 Rh1,63,C C C C P,C C C C C C P,1,1
EDUMAR,C,1,0,1,0,Zr,C20 H30 Si2 Zr1,53,C C C C C C C C C C C C,C C C C C C C C C C C C C C,4,2
EFUGOB,C,1,0,1,0,Rh,C11 H1 B1 Br9 N6 O2 Rh1,31,C C N N,C C N N N,1,1
EGAVOZ,C,1,0,1,0,Re,C3 H8 Cl4 O2 Re1 1-,18,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,5,5
EGEGON,C,1,1,0,0,Rh,C29 H29 Cl1 N1 Rh1 S1,62,C C C C C Cl,C C C C C Cl,1,1
EHAZUI,C,1,0,0,1,Ni,C14 H16 N6 Ni1 O2 S2,37,N N S S,N N S S,4,2
EHERUG,C,1,0,0,1,Pd,C21 H35 Cl2 N2 P1 Pd1,62,C Cl Cl P,C Cl Cl P,4,2
EHESER,C,1,0,0,1,Pd,C18 H29 Cl2 N2 P1 Pd1,53,C Cl Cl P,C Cl Cl P,4,2
EJILOZ,C,1,1,0,0,Pt,C39 H38 N1 P2 Pt1 Se1 1+,82,C N P Se,C N P Se,2,2
EJUHOI,C,1,0,1,0,V,C22 H14 F1 N4 O4 V1,46,N O O O O,N N O O O O,5,5
EJUKAX,C,1,0,0,1,Pd,C10 H10 Cl1 N3 Pd1 S2,27,Cl N N S,Cl N N S,4,2
EKAVAN,C,1,0,1,0,Pd,C19 H20 Cl1 N2 O1 P1 Pd1,45,C Cl P,C Cl N P,2,2
EKOCUD,C,1,0,1,0,Hg,C12 H12 Hg1 N2 Se2,29,N N Se Se,Se Se,2,2
ELEKUB,C,1,0,0,1,Pd,C26 H25 N3 P1 Pd1 1+,56,C N N N,C N N N,4,2
ELELAI,C,1,0,0,1,Pd,C30 H34 Cl1 N2 P1 Pd1,69,C Cl N N,C Cl N N,4,2
ELIYAB,C,1,0,0,1,Pt,C18 H26 N12 Pt1,57,C C N N,C C N N,0,2
ELOLOG,C,1,0,1,0,Re,C24 H22 Br1 N1 O4 P1 Re1,54,Br C C C P,Br C C C N P,1,1
ELUGUN,C,1,0,1,0,Re,C36 H37 Cl2 N4 P2 Re1,82,C Cl N P P,C Cl Cl N P P,5,5
ENEGAF,C,1,0,1,0,Pd,C30 H33 Cl1 N1 P1 Pd1,67,C Cl P,C Cl N P,2,2
ENEGIN,C,1,0,1,0,Pd,C32 H36 N2 P1 Pd1 1+,72,C N P,C N N P,2,2
ENOPII,C,1,0,0,1,Ir,C23 H26 I1 Ir1 N3 1+,54,C C C C C C I N,C C C C C C I N,5,3
EPAVEX,C,1,1,0,0,Ni,C16 H12 F6 N2 Ni1 O2,39,N N O O,N N O O,2,2
EPUNAF,C,1,0,1,0,Ti,C25 H40 N4 Ti1,70,C C C C C C N N N,C C C C C N N N,4,4
EPUNEJ,C,1,0,1,0,Ti,C22 H38 N4 O4 Ti1,69,C C C C C C N N O O,C C C C C N N O O,4,4
EPUNIN,C,1,0,1,0,Ti,C27 H40 N4 O4 Ti1,76,C C C C C C N N O O,C C C C C N N O O,4,4
EQIREC,C,1,0,1,0,Re,C16 H24 N4 O5 Re1 1+,50,C C C N N,C C C N N N,1,1
EQUKAD,C,1,0,1,0,Re,C12 H22 N4 O3 Re1 1+,42,C C C N N,C C C N N N,1,1
ERATOG,C,1,0,0,1,Ni,C45 H27 N5 Ni1 O1,79,N N N N,N N N N,4,2
ESAMOB,C,1,0,0,1,Ru,C40 H28 Br4 N10 Ru1,83,N N N N N N,N N N N N N,6,2
ESANAO,C,1,0,0,1,Ru,C30 H24 Br2 Cl1 N7 Ru1,65,Cl N N N N N,Cl N N N N N,4,2
ESAZIH,C,1,0,0,1,Pt,C20 H26 N8 Pt1 S2,57,N N S S,N N S S,4,2
ESOBUJ,C,1,0,1,0,Ta,C24 H30 B1 Cl2 N6 Ta1,64,C Cl Cl N N N,C C Cl Cl N N N,3,3
ESORIN,C,1,0,1,0,Ti,C21 H32 N6 Ti1,60,N N N N N,N N N N N N,4,4
ESOTEM,C,1,0,0,1,Pd,C46 H30 Cl1 N3 Pd1,81,Cl N N N,C C Cl N N N,4,2
ETEDEO,C,1,0,1,0,Re,C15 H10 N2 O4 Re1 S1 1+,33,C C C N N,C C C N N O,1,1
ETESED,C,1,0,0,1,Pt,C13 H17 Cl1 O3 Pt1 S3,38,Cl O S S,Cl O S S,4,2
EWEYAG,C,1,0,1,0,Pt,C16 H17 Cl1 O1 Pt1 S2,38,C Cl S,C Cl S S,2,2
EWIYEP,C,1,0,1,0,Au,C28 H41 Au1 P1 1+,71,P,C C P,1,1
EWUVUN,C,1,0,1,0,Pt,C26 H25 Cl1 P2 Pt1 S1,56,C Cl P,C Cl P S,2,2
EYENAX,C,1,0,1,0,Mn,C26 H16 Mn1 N1 O5,49,C C C C N,C C C C C N,1,1
EYIVIT,C,1,0,0,1,Fe,C35 H40 Fe1 N2,78,C C C,C C C,4,2
EYUNUJ,C,1,0,1,0,Re,C30 H40 Cl2 N2 O1 P1 Re1,77,Cl N N O P,Cl Cl N N O P,5,5
EZEWEL,C,1,0,1,0,Re,C15 H35 O3 P3 Re1 1+,57,C C P P P,C C O P P P,1,1
FABWIO,C,1,0,1,0,W,C20 H18 N2 O4 W1,45,N O O O O,N N O O O O,6,6
FABZEN,C,1,0,1,0,W,C18 H22 N2 O4 W1,47,O O O O,N N O O O O,6,6
FABZIR,C,1,0,1,0,W,C18 H22 N2 O4 W1,47,O O O O,N N O O O O,6,6
FADVAI,C,1,0,1,0,Hg,C6 H12 Hg1 O4 S1,24,C O S,C S,2,2
FAFWUE,C,1,0,1,0,Zr,C17 H47 Cl3 N3 O1 P1 Si4 Zr1,77,Cl Cl Cl N N O P,Cl Cl Cl N N O,4,4
FAGKUT,C,1,0,1,0,Zr,C19 H23 P1 Zr1,44,C C C C C C C C C C C P,C C C C C C C C C C C C P,2,2
FAJFOM,C,1,1,0,0,Cu,C15 H26 Cl1 Cu1 N6,49,Cl H N,Cl N N,1,1
FAKJOR,C,1,0,1,0,Re,C9 H11 N2 O7 Re1,30,C C C N O,C C C N N O,1,1
FAPSIB,C,1,0,1,0,Fe,C35 H43 Fe1 P3,82,C P P P,C C P P P,0,0
FAPZAX,C,1,1,0,0,Ti,C35 H31 P1 Ti1,68,C C C C C C C C C C C C,C C C C C C C C C C C C,4,4
FAVTUT,C,1,0,1,0,Ta,C16 H18 Br2 Cl3 N2 O2 Ta1,42,Cl Cl Cl N O,Cl Cl Cl N O O,5,5
FAWQID,C,1,0,1,0,Re,C9 H12 Br1 O3 Re1 Se2,28,Br C C C,Br C C C Se Se,1,1
FEDLIJ,C,1,0,0,1,Au,C20 H36 Au1 P1 S2,56,P S,P S,3,1
FEHDIG,C,1,0,1,0,Hg,C16 H11 Cl1 Hg1 N2,31,C Cl N N,C Cl,2,2
FEHQOY,C,1,0,1,0,Ru,C28 H35 Cl1 O2 P1 Ru1 1+,68,C C C C C C Cl P,C C C C C C C Cl P,2,2
FEKGUA,C,1,0,1,0,Pt,C12 H20 Cl2 N2 Pt1,37,C C Cl Cl N,C C Cl Cl N N,4,4
FEKZON,C,1,0,0,1,Ni,C24 H22 N8 Ni1 S2,57,N N N S S,N N N N S S,4,2
FENMOA,C,1,1,0,0,Mn,C20 H25 Mn1 N5 O5 1-,56,N N N N O,N N N N O,3,6
FENNIX,C,1,0,1,0,Ti,C20 H21 N2 O7 Ti1 1-,51,N O O O O,N N O O O O,4,4
FENQAQ,C,1,0,1,0,Zr,C23 H37 N1 O1 Zr1,63,C C C C C C C C C N O,C C C C C C C C C C N O,4,4
FENTAV,C,1,0,1,0,Ti,C18 H26 N2 O4 Ti1,51,C C N N O O O O,N N O O O O,4,4
FEPFOW,C,1,0,1,0,Zr,C27 H47 N3 Si2 Zr1,80,C C N N,C C N N N,4,4
FESBAH,C,1,0,1,0,Pd,C42 H32 Br1 N2 P2 Pd1 1+,80,Br N P P,Br N N P P,2,2
FEVFET,C,1,0,0,1,Fe,C24 H27 Fe1 N5 Si1,58,C N N N,C N N N,4,2
FEVQOO,C,1,0,1,0,Pd,C24 H38 N2 Pd1,65,C C,C C N N,2,2
FEVQUU,C,1,0,1,0,Pd,C24 H20 F18 N2 Pd1,65,C C,C C N N,2,2
FEVTIM,C,1,0,1,0,Ni,C18 H30 F4 Ni1 P2,55,C P P,C C P P,0,0
FEWLIF,C,1,0,1,0,Mo,C24 H25 F12 Mo1 O4 P1,67,C O O O P,C O O O O P,6,6
FEWVIN,C,1,0,1,0,Pt,C42 H34 P2 Pt1,79,C P P,C C P P,0,0
FEWWEK,C,1,0,1,0,Pt,C42 H36 O4 P2 Pt1,85,C P P,C C P P,0,0
FEWWOT,C,1,0,1,0,Zr,C19 H29 P1 Zr1,50,C C C C C C C C C C C P,C C C C C C C C C C C C P,2,2
FEXNOM,C,1,0,1,0,Re,C13 H16 Cl1 N4 O3 Re1,38,C C C N N,C C C Cl N N,1,1
FEXRIJ,C,1,0,1,0,Mo,C16 H17 Mo1 N2 O5,38,N O O O O,N O O O O O,6,5
FEYBUI,C,1,0,1,0,Pt,C25 H29 Br1 N2 Pt1,58,Br C N,Br C N N,2,2
FEZDUJ,C,1,1,0,0,Zr,C18 H20 Zr1,39,C C C C C C C C C C C C C C,C C C C C C C C C C C C,4,4
FEZJAX,C,1,0,1,0,Mo,C15 H13 Br1 Mo1 N2 O6,38,N O O O O,N O O O O O,6,6
FEZQUZ,C,1,0,1,0,Pt,C14 H18 I2 N2 O1 Pt1,38,C C I I N,C C I I N N,4,4
FEZRAG,C,1,0,1,0,Pt,C14 H18 I2 N2 O1 Pt1,38,C C I I N,C C I I N N,4,4
FICCEA,C,1,0,0,1,Zr,C30 H46 O2 Si1 Zr1,80,C C C C C C C C C C C C,C C C C C C C C C C C C,4,2
FIFPEQ,C,1,0,1,0,Ti,C17 H44 Cl1 N5 Si2 Ti1,70,C Cl N N N N,Cl N N N N,4,4
FIGHOT,C,1,0,1,0,Zr,C18 H36 N4 O2 Zr1,61,N N N N,N N N N O O,4,4
FIJSOH,C,1,0,1,0,V,C19 H16 N3 O4 V1,43,N O O O O,N N O O O O,5,5
FILGUD,C,1,0,0,1,Pd,C19 H15 Cl1 N4 Pd1 S1,41,Cl N N S,Cl N N S,4,2
FIMYAE,C,1,1,0,0,Zn,C11 H16 Cl2 N4 O1 Zn1,35,Cl Cl N N,Cl Cl N N,2,2
FIPPAV,C,1,0,1,0,Pd,C22 H34 N2 Pd1 Si1,60,C C,C C N N,2,2
FIRJOH,C,1,0,1,0,Mo,C15 H12 Cl1 Mo1 N3 O7,39,N O O O O,N O O O O O,6,6
FIWTAG,C,1,0,1,0,Mo,C22 H32 Mo1 N2,57,C C N N,C C C N N,6,6
FOBREV,C,1,1,0,0,Fe,C16 H14 F6 Fe1 N2 O2 S2,43,N N O O,N N O O,2,2
FODBAB,C,1,0,1,0,Pd,C21 H21 N3 Pd1,46,C C N,C C N N,2,2
FOKVIN,C,1,0,1,0,W,C21 H32 B1 Br1 O1 S3 W1,60,Br C C C S S,Br C C C C C S S,2,2
FOMHEU,C,1,0,1,0,Cu,C12 H12 Cu1 N2 1+,25,C N N,C C N N,1,3
FONGEX,C,1,1,0,0,Ti,C30 H30 Cl2 N2 P2 Ti1,67,Cl Cl N N P P,Cl Cl N N P P,4,4
FONGOH,C,1,1,0,0,Ti,C40 H38 Cl2 N2 P2 Ti1,85,Cl Cl N N P P,Cl Cl N N P P,4,4
FOPDAR,C,1,0,1,0,Zr,C24 H32 N2 O1 Si1 Zr1,61,C C C C C C C C C C C N,C C C C C C C C C C C C N,2,2
FOSMOP,C,1,0,1,0,Ti,C7 H12 Cl4 O2 Ti1,26,Cl Cl Cl Cl O,Cl Cl Cl Cl O O,4,4
FOVFAZ,C,1,0,1,0,Hf,C20 H20 Cl3 Hf1 N2 P1,47,Cl Cl Cl N P,Cl Cl Cl N N P,4,4
FOZHEI,C,1,0,1,0,Cu,C29 H27 Br1 Cu1 N1 O2 S2,63,Br N O O S,Br N S,1,1
FOZPOA,C,1,0,0,1,Mn,C16 H11 Mn1 N3 O3 S1 1+,35,C C C C N N,C C C C N N,3,1
FUBVII,C,1,0,1,0,Pd,C23 H29 Cl1 N1 P1 Pd1,56,C Cl P,C Cl N P,2,2
FUDLOG,C,1,0,0,1,Ru,C21 H16 Cl1 N6 O1 Ru1 1+,46,C Cl N N N N,C Cl N N N N,4,2
FUHXIQ,C,1,0,1,0,Pd,C23 H29 Br1 N1 P1 Pd1,56,Br C P,Br C N P,2,2
FUNNUX,C,1,0,1,0,Pt,C8 H21 Cl1 Pt1 S2,33,C C C Cl S,C C C Cl S S,4,4
FUNPIO,C,1,0,1,0,Pd,C32 H25 Cl1 N2 Pd1,61,C Cl N,C Cl N N,2,2
FUQHOQ,C,1,0,1,0,Re,C14 H9 Br1 N5 O3 Re1,33,Br C C C N,Br C C C N N,1,1
FUQTIW,C,1,0,1,0,Ir,C25 H30 Ir1 N1,57,C C C C N,C C C C C N,1,1
FURREP,C,1,0,0,1,Pt,C28 H27 Br2 N2 P1 Pt1,61,Br Br C P,Br Br C P,4,2
FUSTEU,C,1,0,0,1,Pt,C28 H18 Cl1 N7 Pt1,55,Cl N N N,Cl N N N,4,2
FUTVEV,C,1,0,1,0,Cu,C20 H24 Cu1 N10 O4 S2,60,C N N N N N,N N N N N,3,1
FUYWUT,C,1,0,1,0,Pt,C14 H25 Br1 N2 Pt1,43,Br C C C,Br C C C N N,4,4
GACLEC,C,1,0,0,1,Pd,C18 H24 Cl1 N3 O2 Pd1,49,Cl N N N,Cl N N N,4,2
GACRIM,C,1,0,0,1,Rh,C13 H18 I2 N6 Rh1 1+,38,C C I I N N,C C I I N N,1,3
GAGCUN,C,1,0,1,0,Os,C21 H30 Cl1 Os1 P1,54,C C C C Cl P,C C C C C C Cl P,4,4
GAKQUE,C,1,0,1,0,Rh,C33 H31 B1 N6 O4 P1 Rh1,77,C N N N P,C C N N N P,1,1
GALNUF,C,1,0,1,0,Ir,C22 H36 Ir1 N4 1+,59,C C C C,C C C C C C,1,1
GAMZIE,C,1,1,0,0,Fe,C28 H46 Fe1 P2,77,C C H P P,C C P P,2,2
GANCAC,C,1,0,1,0,Zr,C24 H48 N4 O4 Zr1,81,C C C C N N N N O O O O,N N N N O O O O,4,4
GANCIK,C,1,0,1,0,Hf,C20 H40 Hf1 N4 O4,69,C C C C N N N N O O O O,N N N N O O O O,4,4
GANCUW,C,1,0,1,0,Zr,C12 H24 N4 O4 Zr1,45,C C C C N N N N O O O O,N N N N O O O O,4,4
GAYKUO,C,1,0,1,0,Ru,C39 H39 Cl2 N1 P2 Ru1 S1,85,Cl Cl P P S,Cl Cl N P P S,2,2
GECFID,C,1,0,1,0,V,C10 H18 N3 O6 V1,38,N N O O O,N N N O O O,5,5
GECHEB,C,1,0,1,0,Pt,C20 H28 Cl2 N2 Pt1,53,C C Cl Cl,C C Cl Cl N N,2,2
GEDMOS,C,1,0,1,0,Nb,C21 H34 B1 N6 Nb1,63,C C C N N N,C C C C N N N,3,3
GEFLUZ,C,1,0,0,1,Co,C41 H18 B1 Co1 F15 O4 P1,81,C C C C P,C C C C P,3,1
GEGHEG,C,1,0,1,0,Pd,C20 H27 N2 O4 Pd1 1+,54,C N N,C N N O,2,2
GEGMOW,C,1,0,1,0,Re,C9 H7 Br1 N1 O4 Re1,23,Br C C C N,Br C C C N O,1,1
GEGNAJ,C,1,0,0,1,Mn,C33 H36 B1 Mn1 N1 O4 P1,77,C C C N O P,C C C N O P,3,1
GEHYOH,C,1,0,1,0,Zr,C20 H28 P2 Zr1,51,C C C C C C C C C C C C P P,C C C C C C C C C C C C,4,4
GEKCAA,C,1,0,1,0,Re,C10 H15 O1 Re1 S4,31,C C C O S S,C C C C C O S S,5,5
GEKYIE,C,1,0,1,0,Co,C16 H23 Co1 O5 S2,47,C C C C C C C,C C C C C C C C,1,1
GELDEG,C,1,0,1,0,Co,C19 H31 Co1 O5 S2 Si1,59,C C C C C C C,C C C C C C C C,1,1
GELDIK,C,1,0,1,0,Co,C22 H35 Co1 O5 S2,65,C C C C C C C,C C C C C C C C,1,1
GELGEJ,C,1,0,1,0,Co,C31 H43 Co1 O5 S2,82,C C C C C C C,C C C C C C C C,1,1
