CSD_code,SMILES_tmQM,q,s,metal_symbol,coordination_number_tmQM,SMILES_CSD_fixed,coordination_number_CSD_fixed,SMILES_G
LIBGAG,CC1(CCC(=O)Nc2c(O)ccc(C(=O)O)c2O)CCc23->[Mn+]456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->42)[cH-]->5c->63C1=O,0,0,Mn,8,CC1(CCC(=O)Nc2c(O)ccc(C(=O)O)c2O)CCc23->[Mn+]456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->4c->52C1=O)[cH-]->63,8.0,
PUMKOX,CO[c+]1[cH-][cH+][c-]([C-3]->[Re+5]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[O-]S(=O)(=O)C(F)(F)F)<-P(c3ccccc3)(c3ccccc3)c3ccccc3P->2(c2ccccc2)c2ccccc2)[cH+][cH-]1,1,0,Re,6,COc1ccc([C-3]->[Re+5]2(<-[C-]#[O+])(<-[C-]#[O+])(<-[O-]S(=O)(=O)C(F)(F)F)<-P(c3ccccc3)(c3ccccc3)c3ccccc3P->2(c2ccccc2)c2ccccc2)cc1,6.0,
UGUSAQ,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2cccc3ccc4cccn->1c4c32,0,0,Re,6,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2cccc3ccc4cccn->1c4c32,6.0,[O+]#[C-:5Π]->[Re+Π]1(<-[Cl-:2Π])(<-[C-:1↑]#[O+])(<-[C-:4Π]#[O+])<-[n:3Π]2cccc3ccc4ccc[n:6↓]->1c4c32
FIZQEL,O=[N-]->[Mn+3]1234<-n5ccccc5CN->1(CC[N-]->2C(=O)c1ccccn->31)Cc1ccccn->41,1,0,Mn,6,O=[N-]->[Mn+3]1234<-n5ccccc5CN->1(CC[N-]->2C(=O)c1ccccn->31)Cc1ccccn->41,6.0,O=[N-:2Π]->[Mn+3Π]1234<-[n:6↓]5ccccc5C[N:5Π]->1(CC[N-:4Π]->2C(=O)c1cccc[n:3Π]->31)Cc1cccc[n:1↑]->41
SOCROR,O=[N-]->[Re+3]1234(<-[NH-]c5ccccc5)(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Re,8,O=[N-]->[Re+3]1234(<-[NH-]c5ccccc5)(<-c5c->1c->2[cH-]->3c->45)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,8.0,
FAZTIK,CN1(C)CCP(c2ccccc2)(c2ccccc2)->[Mn+]<-1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[N-2][N+]#N,0,0,Mn,6,CN1(C)CCP(c2ccccc2)(c2ccccc2)->[Mn+]<-1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[N-]=[N+]=[N-],6.0,C[N:5Π]1(C)CC[P:2Π](c2ccccc2)(c2ccccc2)->[Mn+Π]<-1(<-[C-:1↑]#[O+])(<-[C-:3Π]#[O+])(<-[C-:4Π]#[O+])<-[N-:6↓]=N+=N-
BAWSAU,[O-2]->[Re+5]1(<-[Br-])(<-[Br-])(<-[Br-])<-n2ccccc2-c2ccccn->12,0,0,Re,6,[O-2]->[Re+5]1(<-[Br-])(<-[Br-])(<-[Br-])<-n2ccccc2-c2ccccn->12,6.0,[O-2:3Π]->[Re+5Π]1(<-[Br-:6↓])(<-[Br-:2Π])(<-[Br-:1↑])<-[n:5Π]2ccccc2-c2cccc[n:4Π]->12
HOBPAS,[O+]#[C-]->[Re+]12(<-[C-]#[O+])(<-n3cccc4ccc5cccn->1c5c43)<-P(NP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1,0,Re,6,[O+]#[C-]->[Re+]12(<-[C-]#[O+])(<-n3cccc4ccc5cccn->1c5c43)<-P(NP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,6.0,[O+]#[C-:1↑]->[Re+Π]12(<-[C-:5Π]#[O+])(<-[n:4Π]3cccc4ccc5ccc[n:6↓]->1c5c43)<-[P:3Π](N[P:2Π]->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
HATMUL,O=S(=O)([O-]->[Mn+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(OCCOP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)F,0,0,Mn,6,O=S(=O)([O-]->[Mn+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(OCCOP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)F,6.0,O=S(=O)([O-:5Π]->[Mn+Π]1(<-[C-:3Π]#O+)(<-[C-:4Π]#O+)(<-[C-:1↑]#O+)<-[P:2Π](OCCO[P:6↓]->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)C(F)(F)F
POXMOE,[O-2]->[Re+5](<-[O-2])(<-n1ccccc1)(<-n1ccccc1)(<-P(CO)(CO)CO)<-P(CO)(CO)CO,1,0,Re,6,[O-2]->[Re+5](<-[O-2])(<-n1ccccc1)(<-n1ccccc1)(<-P(CO)(CO)CO)<-P(CO)(CO)CO,6.0,[O-2:3Π]->[Re+5Π](<-[O-2:5Π])(<-[n:6↓]1ccccc1)(<-[n:1↑]1ccccc1)(<-[P:2Π](CO)(CO)CO)<-[P:4Π](CO)(CO)CO
ICUXOV,COc1cccc2C=N3c4ccccc4N4=Cc5cccc(OC)c5[O-]->[Mn+3]<-3<-4(<-O)(<-[O-]c21)<-OC,1,0,Mn,6,COc1cccc2C=N3c4ccccc4N4=Cc5cccc(OC)c5[O-]->[Mn+3]<-3<-4(<-O)(<-[O-]c21)<-OC,6.0,COc1cccc2C=[N:3Π]3c4ccccc4[N:6Π]4=Cc5cccc(OC)c5[O-:4Π]->[Mn+3]<-3<-4(<-[O:2Π])(<-[O-:1Π]c21)<-[O:5Π]C
HEWBAN,CCOP(OCC)(c1ccccc1)->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-N(Cc2ccccc2)=NN=N->1Cc1ccccc1)<-P(OCC)(OCC)c1ccccc1,1,0,Re,6,CCOP(OCC)(c1ccccc1)->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-N(Cc2ccccc2)=NN=N->1Cc1ccccc1)<-P(OCC)(OCC)c1ccccc1,6.0,CCO[P:2Π](OCC)(c1ccccc1)->[Re+Π]1(<-[C-:5Π]#O+)(<-[C-:1↑]#O+)(<-[N:3Π](Cc2ccccc2)=NN=[N:6↓]->1Cc1ccccc1)<-[P:4Π](OCC)(OCC)c1ccccc1
QOYFAN,Cc1cc(C)n(->[Re+7](<-[O-2])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2[nH]c(C)cc2C)[nH]1.[O-2].[O-2].[O-]Cl,0,0,Re,6,Cc1cc(C)n(->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[O-][Cl+3]([O-])([O-])[O-])<-n2[nH]c(C)cc2C)[nH]1,6.0,
ZODBEZ,CC1(C)C2CC1c13->[Re+3]456(<-[CH3-])(<-[N-]=O)(<-c(c->41)c->5[c-]->63C2)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Re,8,CC1(C)C2CC1c13->[Re+3]456(<-[CH3-])(<-[N-]=O)(<-c([cH-]->4c->51)c->63C2)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,8.0,
TINVER,c1ccc(P2(CCP(c3ccccc3)(c3ccccc3)->[ReH+2]<-234(<-S=c2ccc5ccccc5[n-]->32)<-S=c2ccc3ccccc3[n-]->42)c2ccccc2)cc1,0,0,Re,6,,,
TUFDII,CCN1CCN2->[Re+]3(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[O-]C(=O)CS->3CC=21,0,0,Re,6,CCN1CCN2->[Re+]3(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[O-]C(=O)CS->3CC=21,6.0,CCN1CC[N:6↓]2->[Re+Π]3(<-[C-:1↑]#O+)(<-[C-:5Π]#O+)(<-[C-:4Π]#O+)<-[O-:3Π]C(=O)C[S:2Π]->3CC=21
KIXZOH,O=C(O)c12->[Re+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3[cH-]->41)c->52,0,0,Re,8,O=C(O)c12->[Re+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3[cH-]->41)c->52,8.0,
XEDQOM,C[Si](C)(C)N=S(=O)->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45,0,0,Mn,8,C[Si](C)(C)N=S(=O)->[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45,8.0,
MAZJUS,COc1ccc([S-]->[Re+5]23(<-[O-2])<-[S-]Cc4cccc(C[S-]->2)n->34)cc1,0,0,Re,5,,,
SEBVUT,Cc12->[Re+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c1(C)c->3(C)[c-]->4(-c1ccc(Cl)cc1)c->52C,0,0,Re,8,Cc12->[Re+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c1(-c1ccc(Cl)cc1)c->3(C)[c-]->4(C)c->52C,8.0,
NEZHUV,[Cl-]->[Re+3](<-[Cl-])(<-[Cl-])(<-n1ccccc1)(<-n1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Re,6,[Cl-]->[Re+3](<-[Cl-])(<-[Cl-])(<-n1ccccc1)(<-n1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,6.0,[Cl-:4Π]->[Re+3Π](<-[Cl-:3Π])(<-[Cl-:2Π])(<-[n:5Π]1ccccc1)(<-[n:1↑]1ccccc1)<-[P:6↓](c1ccccc1)(c1ccccc1)c1ccccc1
TAMQEE,Cc1ccc(C=C2=C(c3ccccc3)(P(c3ccccc3)c3ccccc3)->[Mn+]<-23456(<-[C-]#[O+])(<-[C-]#[O+])<-c2c->3c->4[c-]->5(C)c->62)cc1,0,0,Mn,9,Cc1ccc(C=C2=C(c3ccccc3)(P(c3ccccc3)c3ccccc3)->[Mn+]<-23456(<-[C-]#[O+])(<-[C-]#[O+])<-c2c->3c->4(C)c->5[cH-]->62)cc1,9.0,
OLEWEJ,CC=[N-]->[Re+3]12(<-[Cl-])<-[N-](CCP->1(C(C)(C)C)C(C)(C)C)CCP->2(C(C)(C)C)C(C)(C)C,0,0,Re,5,CC=[N-]->[Re+2]12(<-[Cl-])<-N(CCP->1(C(C)(C)C)C(C)(C)C)CCP->2(C(C)(C)C)C(C)(C)C,5.0,
TUYZUI,CC[c-]12->[Re+5]345(<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[S-]C(C)C)<-c(C)(c->3(C)c->41C)c->52C,0,0,Re,9,CCc12->[Re+5]345(<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[S-]C(C)C)<-c1(C)c->3(C)[c-]->4(C)c->52C,9.0,
PAGMAO,Clc1ccc2[O-]->[Mn+3]34(<-[O-]c5ccc(Cl)c6cccn->3c56)(<-[O-]c3ccc(Cl)c5cccn->4c35)<-n3cccc1c23,0,0,Mn,6,Clc1ccc2[O-]->[Mn+3]34(<-[O-]c5ccc(Cl)c6cccn->3c56)(<-[O-]c3ccc(Cl)c5cccn->4c35)<-n3cccc1c23,6.0,Clc1ccc2[O-:3Π]->[Mn+3Π]34(<-[O-:2Π]c5ccc(Cl)c6ccc[n:6↓]->3c56)(<-[O-:4Π]c3ccc(Cl)c5ccc[n:5Π]->4c35)<-[n:1↑]3cccc1c23
DIJSUN,O=C1[O-]->[Re+](<-O)(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c1ccc1ccccc12,0,0,Re,6,O=C1[O-]->[Re+](<-O)(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c1ccc1ccccc12,6.0,O=C1[O-:2Π]->[Re+Π](<-[O:6↓])(<-[C-:4Π]#O+)(<-[C-:1↑]#O+)(<-[C-:3Π]#O+)<-[n:5Π]2c1ccc1ccccc12
FICMEJ,CP(C)(C)->[ReH](<-P(C)(C)C)(<-P(C)(C)C)(<-P(C)(C)C)<-P(C)(C)C,0,0,Re,5,CP(C)(C)->[ReH](<-P(C)(C)C)(<-P(C)(C)C)(<-P(C)(C)C)<-P(C)(C)C,5.0,
WALZOY,[N-3]->[Tc+5]1(<-[Cl-])(<-[Cl-])<-P(CCOCCOCCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Tc,5,[N-3]->[Tc+5]1(<-[Cl-])(<-[Cl-])<-P(CCOCCOCCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,5.0,
DAJXAQ,CCN(CC)C1N=C(c2ccccc2)[N-]2CC(=O)[N-]3CC(=O)[N-](Cc4cn(Cc5ccccc5)nn4)->[Re+5]<-3<-2(<-[O-2])<-S=1,0,0,Re,5,CCN(CC)C1=NC(c2ccccc2)=N2CC(=O)[N-]3CC(=O)[N-](Cc4cn(Cc5ccccc5)nn4)->[Re+5]<-2<-3(<-[O-2])<-[S-]1,5.0,
NAJVID,COP(=O)(OC)C1C2->[Mn+]34(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C=2[C-]->3([Si]23OCCN(CCO2)CCO3)S->41,0,0,Mn,7,,,
AZOXOC,[O-2]->[Re+5]12(<-[Cl-])(<-[O-]c3ccccc3C3=N->1CCS3)<-[O-]c1ccccc1C1=N->2CCS1,0,0,Re,6,[O-2]->[Re+5]12(<-[Cl-])(<-[O-]c3ccccc3C3=N->1CCS3)<-[O-]c1ccccc1C1=N->2CCS1,6.0,[O-2:5Π]->[Re+5Π]12(<-[Cl-:2Π])(<-[O-:3Π]c3ccccc3C3=[N:1↑]->1CCS3)<-[O-:6↓]c1ccccc1C1=[N:4Π]->2CCS1
EFUCAJ,Cn1ccn2[BH2-]n3ccn(C)c3=S->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-S=c12)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Re,6,Cn1ccn2[BH2-]n3ccn(C)c3=S->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-S=c12)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,6.0,Cn1ccn2[BH2-]n3ccn(C)c3=[S:3Π]->[Re+Π](<-[C-:5Π]#[O+])(<-[C-:4Π]#[O+])(<-[C-:1↑]#[O+])(<-[S:2Π]=c12)<-[P:6↓](c1ccccc1)(c1ccccc1)c1ccccc1
TICQOM,CC#N->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(-c3ccc4ccccc4n->13)ccc1ccccc12,1,0,Re,6,CC#N->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(-c3ccc4ccccc4n->13)ccc1ccccc12,6.0,CC#[N:6↓]->[Re+Π]1(<-[C-:1↑]#[O+])(<-[C-:4Π]#[O+])(<-[C-:5Π]#[O+])<-[n:3Π]2c(-c3ccc4ccccc4[n:2Π]->13)ccc1ccccc12
ACEBIV,Cc1c2cn(C)c1C(c1ccccc1)=c1ccc3[n-]1->[Re+3]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[n-]4c(ccc4C=3c3ccccc3)C(c3ccccc3)=c3ccc([n-]->13)=C2c1ccccc1,0,0,Re,6,Cc1c2cn(C)c1C(c1ccccc1)=C1C=CC3=N1->[Re+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-N4=C(C=CC4=C2c2ccccc2)C(c2ccccc2)=c2ccc([n-]->12)=C3c1ccccc1,6.0,
AXIXEK,[O+]#[C-]->[Re+]12(<-[C-]#[O+])(<-[C-]#[O+])<-[c-]3c(-n4ccc5cccn->1c54)cc(F)cc3-n1ccc3cccn->2c31,0,0,Re,6,[O+]#[C-]->[Re+]12(<-[C-]#[O+])(<-[C-]#[O+])<-[c-]3c(-[n+]4ccc5ccc[n-]->1c4-5)cc(F)cc3-[n+]1ccc3ccc[n-]->2c1-3,6.0,[O+]#[C-:6↓]->[Re+Π]12(<-[C-:5Π]#[O+])(<-[C-:4Π]#[O+])<-[c-:1↑]3c(-[n+]4ccc5ccc[n-:2Π]->1c4-5)cc(F)cc3-[n+]1ccc3ccc[n-:3Π]->2c1-3
PEWXEW,[O-2]->[Re+5]1(<-[Br-])(<-[Br-])(<-[O-]c2c(Cl)cc(Cl)c3ccc(C=Cc4ccccc4Cl)n->1c23)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,0,0,Re,6,[O-2]->[Re+5]1(<-[Br-])(<-[Br-])(<-[O-]c2c(Cl)cc(Cl)c3ccc(C=Cc4ccccc4Cl)n->1c23)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,6.0,[O-2:3Π]->[Re+5Π]1(<-[Br-:6↓])(<-[Br-:2Π])(<-[O-:5Π]c2c(Cl)cc(Cl)c3ccc(C=Cc4ccccc4Cl)[n:1↑]->1c23)<-[P:4Π](c1ccccc1)(c1ccccc1)c1ccccc1
IBAXOY,Cc1cc(C)n2->[Re+5]3(<-[O-2])(<-[O-]S(=O)(=O)C(F)(F)F)(<-[c-]4ccccc4)<-n4c(C)cc(C)n4[BH-](n12)n1c(C)cc(C)n->31,0,0,Re,6,Cc1cc(C)[n-]2->[Re+5]3(<-[O-2])(<-[O-]S(=O)(=O)C(F)(F)F)(<-[c-]4ccccc4)<-[n-]4c(C)cc(C)[n+]4[BH-]([n+]12)[n+]1c(C)cc(C)[n-]->31,6.0,Cc1cc(C)[n-:5Π]2->[Re+5Π]3(<-[O-2:3Π])(<-[O-:2Π]S(=O)(=O)C(F)(F)F)(<-[c-:1↑]4ccccc4)<-[n-:4Π]4c(C)cc(C)[n+]4[BH-]([n+]12)[n+]1c(C)cc(C)[n-:6↓]->31
QAYGEF,COc12->[Re+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3[cH-]->41)c->52,0,0,Re,8,COc12->[Re+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3[cH-]->41)c->52,8.0,
WILKAD,O=C(Cc1ccccc1)Cc12->[Mn+]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->41)c->5c->62,1,0,Mn,9,O=C(Cc1ccccc1)Cc12->[Mn+]3456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->3c->41)c->5c->62,9.0,
LENGOB,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2c3ccccc3cc3ccccc23)Cc2ccccn->12,0,0,Re,6,[O+]#[C-]->[Re+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-N(=Cc2c3ccccc3cc3ccccc23)Cc2ccccn->12,6.0,[O+]#[C-:5Π]->[Re+Π]1(<-[Cl-:2Π])(<-[C-:1↑]#[O+])(<-[C-:4Π]#[O+])<-[N:3Π](=Cc2c3ccccc3cc3ccccc23)Cc2cccc[n:6↓]->12
VOWMIF,COC(=O)c1ccc2C(=O)[O-]->[Re+](<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c1,-1,0,Re,6,COC(=O)c1ccc2C(=O)[O-]->[Re+](<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c1,6.0,COC(=O)c1ccc2C(=O)[O-:2Π]->[Re+Π](<-[Br-:6↓])(<-[C-:1↑]#O+)(<-[C-:5Π]#O+)(<-[C-:4Π]#O+)<-[n:3Π]2c1
PONBOO,CCC1=C(CC)C2=Cc3c(CC)c(CC)c4C=c5c(CC)c(CC)c6=Cc7c(CC)c(CC)c([O-])[n-]7->[Mn+5](<-n7ccccc7)(<-[N-]2C1=O)(<-[n-]34)<-[n-]65,0,0,Mn,5,CCC1=C(CC)C2=CC3=N4->[Mn+3]5(<-n6ccccc6)(<-[N-]2C1=O)<-[N-]1C(=O)C(CC)=C(CC)C1=Cc1c(CC)c(CC)c(C=C4C(CC)=C3CC)[n-]->51,5.0,
TAJMAU,O=C(O)C1=C(C(=O)O)SC(=C2c3ccccn3->[Re+](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc32)S1,0,0,Re,6,O=C(O)C1=C(C(=O)O)SC(=C2c3ccccn3->[Re+](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccccc32)S1,6.0,O=C(O)C1=C(C(=O)O)SC(=C2c3cccc[n:6↓]3->[Re+Π](<-[Cl-:2Π])(<-[C-:4Π]#O+)(<-[C-:3Π]#O+)(<-[C-:1↑]#O+)<-[n:5Π]3ccccc32)S1
YIZRII,Cc1cc2C=N3C4CCCCC4N4=Cc5cc(C)cc(C(C)(C)C)c5[O-]->[Mn+3]<-3<-4(<-[Cl-])<-[O-]c2c(C(C)(C)C)c1,0,0,Mn,5,Cc1cc2C=N3C4CCCCC4N4=Cc5cc(C)cc(C(C)(C)C)c5[O-]->[Mn+3]<-3<-4(<-[Cl-])<-[O-]c2c(C(C)(C)C)c1,5.0,
LOGMIG,[O+]#[C-]->[Mn+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(-c3nc4ccccc4[nH]3)cccc2-c2[nH]c3ccccc3n->12,0,0,Mn,6,[O+]#[C-]->[Mn+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2c(-c3nc4ccccc4[nH]3)cccc2-c2[nH]c3ccccc3n->12,6.0,[O+]#[C-:4Π]->[Mn+Π]1(<-[Br-:2Π])(<-[C-:5Π]#[O+])(<-[C-:1↑]#[O+])<-[n:6↓]2c(-c3nc4ccccc4[nH]3)cccc2-c2[nH]c3ccccc3[n:3Π]->12
RAYVOD,CC(C)(C)N1CCN(C(C)(C)C)[B-]1=C12->[Mn+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-C1=C->3C->4(C)=C->52,0,0,Mn,8,CC(C)(C)N1CCN(C(C)(C)C)B1c12->[Mn+]345(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c([cH-]->31)c->4(C)c->52,8.0,
CUGDAL,O=C1CN2(CCO)CC(=O)[O-]->[Re+]<-2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[O-]1,-1,0,Re,6,O=C1CN2(CCO)CC(=O)[O-]->[Re+]<-2(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[O-]1,6.0,O=C1C[N:6↓]2(CCO)CC(=O)[O-:2Π]->[Re+Π]<-2(<-[C-:5Π]#O+)(<-[C-:4Π]#O+)(<-[C-:1↑]#O+)<-[O-:3Π]1
TUQLEW,CC1(C)[O-]->[Re+7](<-[O-2])(<-[O-2])(<-[O-2])<-OC1(C)C,0,0,Re,5,CC1(C)[O-]->[Re+7](<-[O-2])(<-[O-2])(<-[O-2])<-OC1(C)C,5.0,
IBUNAW,CC(C)(C)c1cc2[N-](c3ccccc3)->[Re+7]3(<-[O-2])(<-[Cl-])(<-[O-]c2c(C(C)(C)C)c1)<-[O-]c1c([N-]->3c2ccccc2)cc(C(C)(C)C)cc1C(C)(C)C,0,0,Re,6,CC(C)(C)c1cc2[N-](c3ccccc3)->[Re+7]3(<-[O-2])(<-[Cl-])(<-[O-]c2c(C(C)(C)C)c1)<-[O-]c1c([N-]->3c2ccccc2)cc(C(C)(C)C)cc1C(C)(C)C,6.0,CC(C)(C)c1cc2[N-:1↑](c3ccccc3)->[Re+7Π]3(<-[O-2:5Π])(<-[Cl-:6↓])(<-[O-:2Π]c2c(C(C)(C)C)c1)<-[O-:3Π]c1c([N-:4Π]->3c2ccccc2)cc(C(C)(C)C)cc1C(C)(C)C
OLUCOP,CCOP(=O)(Cc1ccc(-n2cc(-c3ccn4->[Re+](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n5ccc(-c6cn(-c7ccc(CP(=O)(OCC)OCC)cc7)nn6)cc5-c4c3)nn2)cc1)OCC,0,0,Re,6,CCOP(=O)(Cc1ccc(-n2cc(-c3ccn4->[Re+](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n5ccc(-c6cn(-c7ccc(CP(=O)(OCC)OCC)cc7)nn6)cc5-c4c3)nn2)cc1)OCC,6.0,CCOP(=O)(Cc1ccc(-n2cc(-c3cc[n:2Π]4->[Re+Π](<-[Cl-:6↓])(<-[C-:4Π]#O+)(<-[C-:5Π]#O+)(<-[C-:1↑]#O+)<-[n:3Π]5ccc(-c6cn(-c7ccc(CP(=O)(OCC)OCC)cc7)nn6)cc5-c4c3)nn2)cc1)OCC
DEGFUR,C[O-]->[Mn+3]1234(<-[Cl-])<-N5=C(C)c6cc(Cl)cc(n->16)C(C)=N->2C1CCCCC1N->3CCN->4C1CCCCC15,1,0,Mn,7,C[O-]->[Mn+3]1234(<-[Cl-])<-N5=C(C)c6cc(Cl)cc(n->16)C(C)=N->2C1CCCCC1N->3CCN->4C1CCCCC15,7.0,
CECROR,CC(C)(C)[C-3]->[Re+5](<-[I-])(<-[I-])(<-[CH]C(C)(C)C)(<-n1ccccc1)<-n1ccccc1,0,0,Re,6,CC(C)(C)[C-3]->[Re+7](<-[I-])(<-[I-])(<-[CH-2]C(C)(C)C)(<-n1ccccc1)<-n1ccccc1,6.0,CC(C)(C)[C-3:5Π]->[Re+7Π](<-[I-:2Π])(<-[I-:4Π])(<-[CH-2:1↑]C(C)(C)C)(<-[n:3Π]1ccccc1)<-[n:6↓]1ccccc1
KARKOE,[N-3]->[Re+5]1(<-[Cl-])(<-[C]2N(c3ccccc3)N=C(c3ccccc3)N2c2ccccc2)<-[C]2N(c3cccc[c-]->13)N=C(c1ccccc1)N2c1ccccc1,0,0,Re,5,[N-3]->[Re+5]1(<-[Cl-])(<-[C]2N(c3ccccc3)N=C(c3ccccc3)N2c2ccccc2)<-[C]2N(c3cccc[c-]->13)N=C(c1ccccc1)N2c1ccccc1,5.0,
KOXKUF,[O+]#[C-]->[Mn+]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3c4c(-c5ccccc5)c(-c5ccccc5)c5c6ccccc6c(c(-c6ccccc6)c6n->1c(c(-c1ccccc1)c3-c1ccccc1-4)-c1ccccc1-6)[n-]->25,0,0,Mn,6,[O+]#[C-]->[Mn+]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3c4c(-c5ccccc5)c(-c5ccccc5)c5n->1c(c(-c1ccccc1)c1c6ccccc6c(c(-c6ccccc6)c3-c3ccccc3-4)[n-]->21)-c1ccccc1-5,6.0,[O+]#[C-:4Π]->[Mn+Π]12(<-[C-:5Π]#[O+])(<-[C-:1↑]#[O+])<-[n:2Π]3c4c(-c5ccccc5)c(-c5ccccc5)c5[n:6↓]->1c(c(-c1ccccc1)c1c6ccccc6c(c(-c6ccccc6)c3-c3ccccc3-4)[n-:3Π]->21)-c1ccccc1-5
LUYXOS,CCCCCCCCN12CC[S-]->[Re+5]<-1(<-[O-2])(<-[S-]CC2)<-[S-]c1ccc(Br)cc1,0,0,Re,5,,,
